,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,fluxbox,"is the main graphical user interface and window manager."
,ttf-inconsolata,"is the monospace font."
,ttf-linux-libertine,"provides sans and serif fonts."
,xorg-xprop,"is a tool for detecting window properties."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,xcompmgr,"is for transparency and removing screen-tearing."
,neovim,"a tidier vim with some useful features."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,alsa-utils,"is an audio interface for ALSA."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,tmux,"is a terminal multiplexer and the dropdown window."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,rxvt-unicode,"the beginner's favorite terminal emulator."
